epoch,stage,total,bce,wbce,nc,q,base_loss,region_coef,region_ratio,region_ual,region_ual_raw
93,C3_anneal,0.138902,0.091669,0.091669,0.067809,1.000000,0.135619,0.821302,0.142746,0.003283,0.019988
94,C3_anneal,0.131153,0.093100,0.093100,0.063955,1.000000,0.127911,0.847234,0.145304,0.003243,0.019139
95,C3_anneal,0.134239,0.090874,0.090874,0.065453,1.000000,0.130905,0.871474,0.143074,0.003333,0.019125
96,C3_anneal,0.131996,0.092019,0.092019,0.064304,1.000000,0.128609,0.893904,0.144715,0.003388,0.018949
97,C3_anneal,0.135804,0.097571,0.097571,0.066176,1.000000,0.132353,0.914415,0.146563,0.003451,0.018873
98,C3_anneal,0.131499,0.093552,0.093552,0.064052,1.000000,0.128104,0.932907,0.143910,0.003395,0.018194
99,C3_anneal,0.131365,0.096692,0.096692,0.063981,1.000000,0.127962,0.949291,0.143713,0.003403,0.017923
100,C3_anneal,0.132543,0.099341,0.099341,0.064546,1.000000,0.129092,0.963485,0.145048,0.003451,0.017912
101,C3_anneal,0.133875,0.099997,0.099997,0.065201,1.000000,0.130402,0.975421,0.146849,0.003474,0.017806
102,C3_anneal,0.129187,0.097756,0.097756,0.062863,1.000000,0.125725,0.985041,0.144960,0.003462,0.017573
103,C3_anneal,0.126971,0.097433,0.097433,0.061766,1.000000,0.123531,0.992298,0.144746,0.003439,0.017330
